"AB106","AB107","AB108","AB109","AB110","AB111","AB112","AB113","AB114","AB115","AB116","AB117","AB118","AB119"
"U","F","C","B","G","G","G","G","B","G","B","H","C","C"
"C","C","G","B","C","G","G","A","F","F","C","N","C","C"
"U","G","C","B","G","G","A","G","B","G","B","H","G","C"
"U","G","G","G","G","G","G","G","B","G","C","F","C","G"
"G","F","C","B","G","G","A","H","B","G","C","G","C","C"
"U","F","C","B","G","U","B","A","U","B","C","N","C","C"
"U","F","C","B","G","U","H","H","B","B","B","C","G","B"
"U","F","G","C","G","G","G","F","B","B","B","N","C","C"
"U","G","G","B","G","G","G","A","B","G","C","C","C","C"
"B","G","C","B","G","G","B","H","F","F","B","F","C","C"
"B","F","G","B","G","G","H","H","B","G","B","F","C","G"
"U","F","C","B","G","G","B","F","B","F","B","C","G","C"
"U","F","C","U","G","U","A","U","B","F","A","N","C","U"
"B","G","G","B","G","G","H","H","B","B","C","G","C","C"
"U","F","C","B","G","C","B","A","B","C","C","N","C","U"
"B","G","C","B","G","G","H","H","B","C","C","G","G","G"
"B","G","G","B","G","G","B","F","B","F","C","C","G","C"
"U","G","G","B","G","G","A","H","B","G","B","H","C","B"
"U","G","G","B","C","G","H","H","F","B","C","F","C","C"
"B","F","C","B","G","G","H","A","B","G","C","H","C","G"
"C","F","G","B","C","G","B","H","G","C","C","F","C","C"
"U","G","G","B","G","G","G","G","B","G","B","F","C","C"
"U","G","G","B","G","G","H","F","B","G","B","C","C","B"
"U","G","G","F","G","G","C","G","B","C","C","G","C","C"
"U","F","G","B","G","G","A","A","B","B","B","H","C","C"
"U","C","C","U","G","G","H","U","B","F","B","N","C","C"
"U","G","G","B","G","U","H","F","G","C","C","H","C","U"
"B","G","C","A","G","G","A","H","B","F","B","H","G","B"
"A","G","G","B","G","G","G","G","B","C","C","G","C","G"
"U","G","C","B","G","G","G","A","B","C","B","H","G","G"
"B","G","G","G","G","G","G","F","A","G","B","F","C","C"
"B","G","C","A","G","G","A","C","B","B","C","G","C","C"
"U","G","G","B","G","G","H","F","B","C","C","H","C","H"
"B","G","C","B","G","G","H","H","B","B","C","H","C","G"
"B","F","C","F","G","C","B","G","C","G","C","H","C","C"
"U","G","G","G","G","G","B","G","B","B","B","F","C","B"
"U","F","G","B","G","U","U","A","B","F","B","N","C","U"
"U","G","C","B","G","G","H","F","A","B","C","F","C","G"
"U","G","G","B","G","U","H","G","B","F","B","H","C","C"
"U","G","C","B","G","G","A","F","B","C","C","G","C","C"
"B","G","C","B","G","G","A","A","B","G","B","H","G","U"
"B","G","C","G","G","G","U","F","B","G","C","G","G","G"
